Name;Age;Food Supply (Days);Water per Day (Liters);First Aid Kits;Antibiotics;Painkillers;Weapons Available;Defensive Structures;Training Level;Radios Available;Access to Reliable Information;Support Groups Available;Entertainment Available
Jane   ;34;21;4.1;9;3;46;17;10;5;9;Yes;Yes;Books
Michael;34;21;2.4;7;5;14;14;2;2;17;Yes;Yes;Books
James  ;34;16;2;9;5;11;82;4;1;13;No ;No ;Books
Emma   ;34;25;4.7;7;8;40;67;9;2;13;No ;Yes;Games
Jane   ;34;15;2.1;4;12;30;75;2;0;5;No ;No ;Games
John   ;34;17;1.3;7;4;31;37;2;1;10;Yes;Yes;Games
James  ;34;7;4.3;6;17;25;25;4;3;12;No ;No ;Games
William;34;0;2.1;0;18;48;37;10;5;10;No ;No ;Books
Michael;34;18;2;7;14;22;12;3;4;6;Yes;Yes;Books
Olivia ;34;14;3;8;18;5;50;1;3;7;Yes;No ;Books
James  ;34;2;2.2;10;17;10;97;5;3;6;Yes;Yes;Books
Olivia ;34;14;2.5;10;5;22;15;3;3;13;Yes;Yes;Books
Michael;34;20;3.1;10;7;48;93;5;3;2;Yes;Yes;Games
Emma   ;35;0;2.3;8;15;50;47;5;0;17;No ;Yes;Books
Jane   ;35;6;4.8;8;14;32;1;4;1;4;Yes;No ;Books
Sophia ;35;17;4.4;6;9;15;96;6;2;1;Yes;Yes;Games
William;35;5;4.5;0;2;17;68;8;3;14;No ;No ;Games
Olivia ;35;26;2.6;3;1;16;99;8;1;10;Yes;No ;Games
Jane   ;35;22;3.7;3;8;39;79;7;2;12;Yes;No ;Books
Sophia ;35;12;2;9;12;39;27;8;5;14;Yes;Yes;Books
James  ;35;14;4.6;6;10;47;100;10;4;10;Yes;No ;Books
John   ;35;9;3.7;2;17;15;69;0;0;14;No ;No ;Books
Jane   ;35;25;1.6;10;17;29;5;10;2;2;No ;No ;Books
William;35;14;1.9;3;14;50;26;3;2;12;Yes;Yes;Games
John   ;35;30;1.2;0;20;34;25;7;1;0;Yes;Yes;Books
Emma   ;35;9;2.3;6;6;36;21;10;5;20;No ;Yes;Books
Olivia ;35;2;2;9;7;27;57;1;1;7;Yes;No ;Games
Jane   ;35;18;1.1;0;10;43;37;4;0;20;Yes;Yes;Games
Michael;35;19;3.7;4;7;9;6;1;4;16;No ;No ;Books
Michael;35;8;1.6;8;9;30;69;1;3;14;Yes;Yes;Games
John   ;35;30;1.7;10;10;17;22;3;3;20;Yes;No ;Games
Jane   ;35;18;4.3;9;7;30;91;2;4;10;No ;Yes;Games
Michael;35;29;4.4;0;9;33;12;6;0;15;No ;Yes;Games
Emma   ;35;12;2.6;8;19;19;18;3;3;4;No ;Yes;Books
Olivia ;35;27;3.4;4;11;1;45;5;5;18;Yes;Yes;Games
Jane   ;35;25;3.8;9;19;48;16;5;3;12;Yes;No ;Books
John   ;35;12;1.9;2;5;12;92;7;5;5;No ;No ;Books
John   ;35;17;1.9;9;15;28;18;0;0;11;Yes;No ;Games
John   ;36;8;1.2;3;7;26;100;5;1;10;No ;Yes;Books
Michael;36;12;1.6;6;13;3;83;9;5;19;No ;Yes;Games
Michael;36;22;3.1;9;20;28;9;6;4;13;Yes;No ;Books
John   ;36;20;3.7;10;1;22;44;10;0;9;Yes;Yes;Games
Olivia ;36;8;2.5;3;17;50;18;6;1;19;Yes;No ;Games
William;36;30;4.4;8;17;16;22;3;2;6;No ;No ;Books
Michael;36;5;3.3;7;7;1;79;1;5;2;Yes;No ;Games
Sophia ;36;20;2.2;4;19;4;15;3;3;14;No ;Yes;Books
William;36;17;2;0;2;20;24;0;4;11;No ;No ;Games
Sophia ;36;23;4;9;6;7;17;7;2;18;Yes;No ;Games
Sophia ;36;8;2;2;15;7;52;7;1;15;No ;Yes;Books
Jane   ;36;3;2.5;2;18;6;55;9;5;2;Yes;Yes;Games
John   ;36;25;2.8;5;0;45;9;5;2;7;No ;Yes;Books
William;36;19;2.8;9;18;37;66;3;5;4;Yes;Yes;Books
Michael;36;13;4.9;4;1;11;57;4;2;3;No ;No ;Games
John   ;36;26;2.4;10;1;5;5;6;5;10;Yes;No ;Books
Michael;36;25;2.9;6;5;35;38;1;4;12;No ;No ;Books
Olivia ;36;29;3.8;5;7;22;14;9;2;17;Yes;Yes;Games
James  ;36;17;3.6;7;10;12;19;4;4;18;No ;No ;Books
Emma   ;36;1;2.1;7;20;44;79;5;2;15;No ;No ;Games
Emma   ;36;18;4.9;9;15;49;24;3;4;4;Yes;No ;Games
William;36;28;4.4;10;2;26;29;10;3;16;Yes;Yes;Books
James  ;36;4;1.6;8;1;42;83;7;0;7;Yes;No ;Books
John   ;36;24;3.2;10;14;11;73;2;4;16;Yes;No ;Games
Jane   ;36;9;1.9;10;15;15;45;6;3;3;Yes;No ;Games
John   ;37;18;2;6;17;8;2;2;2;13;Yes;Yes;Books
Michael;37;22;2.7;7;6;20;48;6;3;13;Yes;Yes;Games
Olivia ;37;14;1;6;6;27;46;1;5;11;No ;No ;Books
John   ;37;15;1.2;0;12;13;5;1;0;15;No ;Yes;Books
Emma   ;37;26;3.9;3;0;44;60;2;2;13;Yes;Yes;Books
Michael;37;7;2.5;3;20;7;29;10;4;2;Yes;Yes;Books
Jane   ;37;15;1.8;8;12;43;56;9;3;0;Yes;Yes;Books
Sophia ;37;6;4.2;8;12;2;25;8;0;18;Yes;Yes;Books
Sophia ;37;23;3.9;10;8;36;20;4;1;15;No ;Yes;Games
William;37;25;1.5;4;0;23;48;3;5;7;Yes;Yes;Books
Olivia ;37;29;3.7;9;1;30;55;6;4;7;No ;No ;Books
Sophia ;37;18;1.6;0;4;2;89;5;0;3;Yes;Yes;Games
Michael;37;17;3;6;4;48;6;10;1;9;Yes;Yes;Games
James  ;37;25;1.7;10;2;1;47;8;2;8;Yes;No ;Books
Michael;37;4;3.9;8;5;46;5;2;2;9;Yes;Yes;Games
William;37;26;4.4;8;18;13;14;1;1;20;No ;No ;Games
James  ;37;4;4.3;1;12;49;16;3;1;2;Yes;Yes;Games
John   ;37;11;1.6;6;10;45;29;5;2;10;Yes;No ;Games
Olivia ;38;0;2.9;0;14;34;20;8;0;4;Yes;Yes;Games
Olivia ;38;5;2;1;20;15;88;10;0;9;Yes;Yes;Games
Sophia ;38;14;2;7;13;42;34;4;5;20;Yes;No ;Books
John   ;38;3;4.9;10;3;19;65;1;2;9;No ;Yes;Games
Olivia ;38;26;4;10;5;0;59;7;4;9;Yes;Yes;Games
James  ;38;6;4.9;10;5;0;74;0;5;12;Yes;Yes;Games
William;38;30;2.8;5;4;32;79;4;1;6;Yes;Yes;Games
John   ;38;27;4.6;0;9;43;9;9;1;17;No ;Yes;Books
Olivia ;38;21;3.2;5;16;21;75;1;0;2;Yes;Yes;Books
Sophia ;38;2;3.7;2;10;0;48;4;0;20;No ;Yes;Games
Sophia ;38;21;3.1;7;14;9;9;6;4;7;No ;No ;Books
Emma   ;38;13;2.5;4;16;46;68;10;1;0;No ;No ;Games
William;38;10;3.9;2;7;12;31;3;0;8;No ;No ;Games
Olivia ;38;14;3.9;6;8;31;14;10;4;19;No ;Yes;Games
Jane   ;38;11;3.1;8;17;7;22;8;3;20;Yes;Yes;Books
Olivia ;38;0;4.9;10;19;34;27;4;0;3;Yes;No ;Books
Michael;38;7;3.1;7;3;3;83;0;0;3;No ;No ;Games
William;38;11;2;8;3;23;83;4;0;10;No ;No ;Books
Emma   ;38;13;2;9;13;15;30;1;3;16;No ;No ;Games
Emma   ;38;10;4.1;2;2;39;95;1;0;5;Yes;Yes;Books
Michael;38;21;1;4;4;1;46;6;5;5;Yes;No ;Books
William;38;20;1.6;4;11;42;9;4;5;0;Yes;Yes;Games
William;38;29;4.4;10;14;40;67;3;1;2;No ;No ;Books
Michael;38;4;3.8;3;17;24;47;9;5;12;No ;Yes;Books
Michael;38;6;3.7;3;4;12;16;1;5;1;Yes;Yes;Games
Olivia ;38;15;2.1;2;10;17;55;9;1;7;No ;Yes;Games
Olivia ;38;6;2.6;4;14;15;39;8;3;6;Yes;Yes;Books
Sophia ;38;9;1.4;9;0;16;54;7;3;19;No ;Yes;Games
Sophia ;39;21;2;9;0;5;90;6;3;4;Yes;Yes;Books
Sophia ;39;14;1.7;6;2;16;12;2;2;19;No ;No ;Games
Jane   ;39;7;4.6;7;4;11;37;0;2;12;No ;Yes;Books
Olivia ;39;14;1.5;4;4;20;19;9;2;13;No ;Yes;Books
Olivia ;39;16;1.8;5;19;32;70;3;0;20;Yes;No ;Books
John   ;39;3;1.6;8;15;49;68;8;0;7;Yes;No ;Games
Sophia ;39;26;3.2;4;7;10;76;3;3;8;Yes;No ;Games
Sophia ;39;23;2.9;2;12;15;60;3;0;19;Yes;No ;Books
Emma   ;39;2;4.5;1;12;46;17;1;5;12;No ;Yes;Games
Jane   ;39;11;4.3;3;11;10;40;4;0;11;Yes;No ;Games
Sophia ;39;2;4;9;14;15;73;3;1;6;No ;Yes;Books
Jane   ;39;25;1.7;6;7;26;40;2;2;2;No ;Yes;Books
John   ;39;22;3.2;4;5;50;40;7;1;9;No ;Yes;Books
Michael;39;19;1.1;5;18;12;22;0;5;4;No ;Yes;Books
John   ;39;22;3.6;8;4;44;3;10;2;12;No ;No ;Books
Emma   ;39;11;2.7;8;2;27;32;2;0;5;No ;Yes;Games
Olivia ;39;20;1.3;3;0;36;64;8;2;16;Yes;Yes;Games
Sophia ;39;17;3.3;10;10;1;75;1;3;1;No ;No ;Books
John   ;39;3;3.7;2;20;5;33;0;0;20;Yes;No ;Books
Olivia ;39;13;1.4;3;18;34;68;2;2;9;Yes;No ;Books
William;39;11;2;9;2;42;12;9;5;0;Yes;Yes;Games
Sophia ;39;17;3.7;9;14;5;6;9;2;2;No ;Yes;Books
Sophia ;39;1;5;6;8;10;99;7;1;2;No ;No ;Games
Jane   ;39;19;3.4;7;0;49;19;0;2;19;Yes;Yes;Games
Emma   ;39;10;4.4;8;14;27;72;3;2;10;No ;Yes;Games
Olivia ;39;20;3.8;4;14;37;33;7;4;5;No ;No ;Games
Jane   ;39;24;4.9;2;2;36;15;1;0;12;No ;Yes;Books
John   ;39;13;4.8;10;9;31;3;5;5;17;Yes;Yes;Games
James  ;39;15;2;2;18;44;69;5;0;3;No ;No ;Books
Emma   ;39;12;3.5;0;2;40;59;9;1;20;Yes;Yes;Games
William;40;15;4.4;0;7;3;39;1;5;20;No ;Yes;Games
Michael;40;22;3.9;3;4;45;44;8;5;10;Yes;Yes;Games
James  ;40;6;1.8;5;0;38;65;8;1;10;No ;Yes;Games
John   ;40;29;2.3;4;19;49;95;7;0;3;No ;Yes;Books
Olivia ;40;15;1.9;2;17;34;65;1;5;8;Yes;Yes;Games
Sophia ;40;22;3.9;6;6;6;72;7;2;20;No ;No ;Books
William;40;14;2.7;9;16;4;68;3;1;8;Yes;Yes;Games
James  ;40;8;2.9;7;17;49;61;3;1;16;No ;Yes;Games
William;40;26;4.1;4;12;19;23;1;3;7;No ;No ;Books
William;40;6;5;4;4;29;18;7;0;10;Yes;No ;Books
Olivia ;40;4;2.7;8;15;26;9;7;1;14;Yes;No ;Books
Sophia ;40;16;2.1;3;10;20;82;9;0;9;Yes;Yes;Games
John   ;40;6;3.6;4;4;34;23;0;1;7;No ;Yes;Games
John   ;40;12;3.1;1;0;46;17;0;5;17;No ;No ;Games
Jane   ;40;22;2.7;5;1;49;19;8;4;6;Yes;No ;Games
Michael;40;19;2.3;9;2;31;46;1;4;18;No ;No ;Books
Emma   ;40;13;4.6;4;14;16;19;8;0;4;Yes;Yes;Games
Sophia ;40;0;4.3;1;17;47;52;9;3;10;No ;Yes;Games
William;40;27;1.9;2;13;32;64;9;3;10;No ;Yes;Games
Olivia ;40;10;3;3;0;22;71;2;5;17;Yes;No ;Books
James  ;40;4;4;3;14;43;79;6;1;9;Yes;Yes;Books
Sophia ;41;25;3.7;7;4;37;88;0;1;10;Yes;Yes;Games
John   ;41;10;1.3;8;1;16;24;5;5;3;No ;No ;Games
William;41;14;2.2;4;1;47;83;9;5;14;Yes;No ;Books
James  ;41;10;1.9;8;10;38;35;9;5;17;Yes;Yes;Books
William;41;2;1.7;8;18;32;50;10;0;19;Yes;Yes;Books
Emma   ;41;6;3.9;2;5;16;14;10;3;8;No ;No ;Games
Jane   ;41;29;2;8;3;24;72;2;1;8;Yes;No ;Games
James  ;41;21;3.1;9;1;48;12;9;0;3;No ;No ;Books
John   ;41;11;2.2;7;5;39;50;2;3;7;Yes;No ;Games
Michael;41;8;1.4;6;20;0;36;0;4;0;Yes;No ;Games
Olivia ;41;12;2.4;2;5;36;84;7;2;20;Yes;Yes;Games
Michael;41;16;3;9;5;48;16;8;4;2;No ;No ;Games
Olivia ;41;22;1.6;0;10;41;59;0;5;19;Yes;Yes;Books
John   ;41;0;3.6;10;15;46;83;7;3;12;Yes;Yes;Games
Michael;41;1;2.3;1;18;46;43;4;0;18;No ;No ;Books
John   ;41;12;2.8;9;5;0;11;9;2;11;Yes;No ;Games
John   ;41;13;1.7;8;6;33;27;1;4;9;No ;No ;Games
Olivia ;41;27;3.9;10;20;2;99;2;4;13;No ;No ;Books
Michael;41;15;1.6;5;19;24;52;3;3;7;No ;Yes;Books
John   ;41;10;3.6;3;20;46;54;1;4;7;Yes;No ;Books
Sophia ;41;28;3.8;9;7;41;32;6;4;18;No ;No ;Games
James  ;41;6;2;9;13;24;5;1;1;18;Yes;No ;Games
John   ;41;0;2.6;8;9;41;21;7;0;1;Yes;Yes;Games
Michael;42;27;3.3;3;10;12;8;8;4;1;No ;No ;Games
Jane   ;42;12;2.8;7;2;14;17;2;5;0;No ;Yes;Games
John   ;42;20;4.2;6;9;45;83;0;0;16;No ;Yes;Games
Olivia ;42;15;4.4;9;4;49;18;9;3;12;No ;No ;Games
John   ;42;9;4.3;5;13;4;22;0;5;17;No ;No ;Games
Michael;42;21;3.9;4;9;40;69;9;4;4;Yes;No ;Books
Olivia ;42;14;3.9;6;8;0;75;4;0;20;Yes;No ;Books
Olivia ;42;25;3.8;9;15;30;92;5;2;4;No ;No ;Books
Olivia ;42;10;4.7;5;0;24;3;9;0;5;No ;No ;Books
Sophia ;42;18;2.1;0;9;27;4;4;0;12;Yes;Yes;Books
James  ;42;8;1.3;7;1;45;22;8;4;12;No ;No ;Books
Sophia ;42;24;3.2;6;18;25;40;9;1;1;Yes;Yes;Games
William;42;12;4.3;5;17;44;65;10;3;16;No ;No ;Games
Michael;42;22;2.9;7;7;16;53;7;5;13;Yes;No ;Books
John   ;42;25;2.2;3;3;21;2;5;3;11;Yes;Yes;Books
Michael;42;4;4.7;10;7;7;85;3;1;16;Yes;Yes;Games
Michael;42;12;3.6;0;17;6;57;7;1;0;Yes;Yes;Books
William;42;7;2;7;20;28;27;3;5;8;Yes;No ;Books
William;42;3;3.8;0;3;32;36;8;3;13;Yes;No ;Games
Sophia ;43;13;4.2;4;10;21;21;5;2;15;No ;Yes;Books
John   ;43;2;3.1;1;0;50;4;1;3;19;No ;Yes;Games
Emma   ;43;4;3.8;4;1;19;43;1;4;13;No ;Yes;Books
Sophia ;43;15;4.7;4;15;32;14;2;0;4;No ;No ;Books
Sophia ;43;8;4;6;5;34;68;0;3;20;Yes;Yes;Games
Michael;43;17;2.1;4;11;0;75;10;1;5;Yes;Yes;Games
Jane   ;43;18;4;7;2;5;77;9;1;0;No ;No ;Books
Sophia ;43;16;3.3;7;5;1;14;6;0;3;No ;Yes;Games
James  ;43;4;2.5;9;19;21;45;7;5;17;No ;No ;Games
James  ;43;5;3.4;5;6;26;65;4;0;14;No ;No ;Books
Sophia ;43;24;3.2;9;1;26;14;0;0;17;Yes;No ;Books
Sophia ;43;14;2.4;9;17;48;84;3;5;1;No ;No ;Games
Jane   ;43;29;1.6;6;7;39;45;6;2;6;Yes;No ;Games
Michael;43;5;4.6;10;10;7;32;9;0;19;Yes;Yes;Games
James  ;43;8;3.8;10;5;27;42;8;3;9;No ;Yes;Games
Jane   ;43;2;1.4;8;11;21;62;9;0;12;No ;Yes;Games
Sophia ;43;17;1.1;2;17;36;83;2;2;5;No ;No ;Games
Sophia ;43;25;2.6;1;10;35;100;8;2;2;Yes;Yes;Books
James  ;43;1;4;6;2;22;30;8;5;1;No ;No ;Books
James  ;43;2;3.7;5;14;26;3;5;2;9;Yes;No ;Books
Olivia ;43;17;1.2;1;19;35;85;4;4;13;No ;No ;Books
Olivia ;43;28;2.7;3;9;35;9;8;1;3;No ;No ;Games
Jane   ;43;19;2;9;16;25;14;10;1;14;No ;No ;Books
Olivia ;43;29;3.5;6;19;48;20;3;0;1;Yes;No ;Games
Emma   ;43;16;3.5;1;1;8;76;4;1;5;Yes;Yes;Books
Olivia ;43;0;4.3;3;10;25;31;1;1;3;No ;Yes;Books
Michael;43;21;1.7;1;17;4;10;3;5;10;No ;Yes;Books
James  ;43;7;2.3;0;3;20;32;6;0;18;Yes;No ;Books
Michael;43;27;4;9;16;31;77;3;5;19;No ;Yes;Books
Olivia ;43;30;1;3;6;48;46;1;2;11;No ;No ;Games
Jane   ;44;7;3.2;6;14;8;4;8;0;13;Yes;Yes;Books
William;44;28;3.7;9;4;25;36;9;0;18;Yes;Yes;Books
Olivia ;44;23;3.9;3;1;39;49;5;0;7;No ;No ;Books
William;44;24;3.5;4;14;34;35;2;0;6;Yes;No ;Games
Sophia ;44;20;3.5;7;15;30;4;9;4;0;Yes;Yes;Books
Sophia ;44;7;4.4;1;19;18;74;1;3;0;Yes;No ;Books
William;44;23;3.6;0;3;47;37;9;0;20;No ;No ;Games
John   ;44;10;2.2;1;11;24;39;2;5;18;Yes;No ;Books
John   ;44;19;1.9;6;7;34;79;2;4;20;Yes;No ;Games
James  ;44;29;1.2;7;6;40;29;4;3;7;No ;No ;Books
James  ;44;17;1.6;4;11;46;25;10;3;3;Yes;No ;Games
William;44;5;1.5;0;1;47;1;9;0;17;Yes;No ;Games
Michael;44;24;1.3;3;7;47;21;1;3;7;No ;No ;Books
John   ;44;25;3.9;1;12;4;2;10;1;4;No ;No ;Books
Michael;44;25;1.8;0;5;35;3;10;3;14;Yes;Yes;Books
James  ;44;20;2.4;10;11;12;15;0;4;18;No ;No ;Games
James  ;44;26;3.9;6;20;16;97;0;4;14;Yes;Yes;Books
James  ;44;29;4.8;7;20;13;6;5;2;18;Yes;Yes;Books
Olivia ;44;10;4.4;1;7;39;44;9;2;17;Yes;Yes;Books
Michael;44;16;2.5;7;3;23;62;5;3;9;No ;Yes;Games
Emma   ;44;0;2.3;9;12;19;26;9;5;17;Yes;Yes;Games
Michael;44;30;3.8;4;20;47;95;4;1;17;Yes;Yes;Books
Emma   ;44;25;3.5;9;20;2;67;8;1;11;Yes;Yes;Games
James  ;44;11;3.2;10;0;42;52;8;3;4;No ;Yes;Books
James  ;44;1;2;10;0;12;75;6;4;4;Yes;No ;Games
Emma   ;44;18;1.2;3;7;3;18;2;3;10;No ;No ;Games
Olivia ;44;0;1.3;3;11;37;14;3;4;0;Yes;Yes;Books
Sophia ;45;18;2.4;4;8;32;27;3;4;9;No ;Yes;Games
John   ;45;26;3.6;5;20;43;100;7;1;16;No ;Yes;Books
John   ;45;9;2;2;1;4;30;6;3;11;No ;Yes;Books
Michael;45;18;2.8;1;3;49;39;5;2;20;No ;Yes;Games
William;45;15;1.9;4;20;37;8;5;2;0;Yes;Yes;Games
James  ;45;23;3.2;8;13;41;3;7;2;7;Yes;No ;Games
Olivia ;45;11;1.7;10;11;6;11;6;1;2;Yes;No ;Books
Michael;45;28;3;8;6;23;71;5;5;11;No ;Yes;Games
James  ;45;0;3.5;10;14;30;17;4;2;16;No ;No ;Games
Michael;45;2;2.3;2;16;34;49;5;0;10;No ;Yes;Games
William;45;1;3;6;9;46;83;0;3;4;Yes;No ;Books
John   ;45;6;3.2;2;16;8;87;9;2;9;Yes;Yes;Books
William;45;17;2.2;0;9;5;20;3;1;14;Yes;Yes;Games
Jane   ;45;28;2.3;7;5;31;89;5;3;9;No ;No ;Books
Olivia ;45;20;3.2;10;18;2;21;5;4;6;No ;No ;Games
John   ;45;21;2.8;7;6;33;22;9;0;5;Yes;No ;Books
Jane   ;45;21;3;6;14;25;54;9;1;15;No ;Yes;Books
John   ;45;15;3.6;0;6;7;6;2;0;10;Yes;Yes;Games
Jane   ;45;26;2.6;9;7;1;58;6;3;16;Yes;No ;Games
James  ;45;5;2.3;8;2;28;3;3;4;8;Yes;No ;Games
Jane   ;45;6;2.5;6;16;3;95;7;1;8;Yes;Yes;Books
Sophia ;45;4;3;7;15;8;73;2;5;4;Yes;No ;Games
Olivia ;45;22;3.4;5;9;35;92;7;1;16;Yes;Yes;Games
Olivia ;45;15;4.6;3;14;26;51;10;4;4;No ;No ;Books
Michael;45;1;1.3;8;18;21;25;3;3;11;No ;No ;Games
Emma   ;45;16;4.3;4;1;2;28;4;3;5;Yes;No ;Books
Sophia ;45;10;1.3;5;9;12;70;1;0;12;No ;No ;Games
Sophia ;45;11;4.6;10;18;12;73;10;5;19;Yes;Yes;Books
Olivia ;45;13;2.6;3;9;3;9;3;2;2;No ;No ;Games
Michael;46;26;3.7;10;10;49;65;1;3;13;No ;No ;Books
Michael;46;12;3.2;8;0;40;74;1;3;0;No ;No ;Games
Sophia ;46;3;2.9;3;8;38;51;7;3;8;No ;No ;Books
John   ;46;20;2.1;6;17;39;36;1;1;17;No ;No ;Games
Michael;46;22;1.7;2;19;13;32;3;0;12;Yes;Yes;Games
Michael;46;16;4.9;10;4;5;12;7;5;14;No ;Yes;Games
John   ;46;23;2.7;4;6;37;20;4;2;13;No ;No ;Books
William;46;19;1.8;9;1;25;48;8;1;16;Yes;Yes;Books
Sophia ;46;11;2.7;0;1;38;74;3;1;16;No ;Yes;Games
Olivia ;46;1;1.2;5;6;10;99;8;0;9;No ;Yes;Games
John   ;46;28;3.4;5;11;45;6;0;3;2;Yes;Yes;Games
Michael;46;7;3.7;9;10;4;21;1;0;16;Yes;No ;Books
James  ;46;8;2.1;0;9;1;50;8;2;18;No ;No ;Books
Olivia ;46;19;4.7;0;6;21;38;10;5;0;Yes;Yes;Games
William;46;3;3.3;4;16;13;99;6;2;7;Yes;No ;Games
William;46;1;1.8;9;5;36;8;9;5;2;No ;No ;Books
John   ;46;30;2.1;3;6;5;11;10;2;13;Yes;No ;Books
Emma   ;46;1;3;9;5;12;44;0;2;19;No ;Yes;Books
Michael;46;14;3.9;5;9;8;25;6;2;8;Yes;Yes;Books
Sophia ;46;12;4;3;9;48;10;4;3;2;Yes;Yes;Games
John   ;46;16;4.5;1;10;46;26;8;2;0;No ;No ;Books
Michael;46;26;4.2;4;19;16;89;9;4;7;No ;No ;Books
Jane   ;46;7;2.8;2;20;47;31;1;1;4;No ;No ;Books
John   ;47;30;3.9;0;16;12;41;7;5;7;Yes;Yes;Games
John   ;47;15;3.2;1;4;38;1;6;4;15;Yes;Yes;Books
Michael;47;8;3.4;8;18;37;18;9;1;2;Yes;Yes;Books
Sophia ;47;29;4.5;3;20;48;72;9;0;18;No ;Yes;Books
John   ;47;22;4.5;7;8;8;71;10;4;16;No ;No ;Games
Michael;47;9;2;3;14;1;43;0;4;9;No ;No ;Games
Sophia ;47;24;1.7;6;3;45;11;4;5;4;Yes;Yes;Games
John   ;47;22;4;4;20;21;79;6;4;4;No ;No ;Games
Sophia ;47;17;2.1;10;12;23;69;6;5;4;No ;Yes;Books
Emma   ;47;28;2.7;3;17;19;16;9;5;14;No ;No ;Books
Sophia ;47;24;3.3;6;13;26;11;0;0;19;Yes;Yes;Books
Michael;47;23;1.9;6;4;31;23;4;3;18;Yes;No ;Books
William;47;14;4;7;3;21;14;9;3;8;Yes;Yes;Games
Emma   ;47;11;3.1;2;12;46;96;5;4;19;Yes;Yes;Games
William;47;1;3.4;4;14;50;65;2;0;3;No ;No ;Games
James  ;47;14;1.5;3;8;0;64;10;5;6;No ;Yes;Books
Sophia ;47;10;1.6;2;0;23;55;10;0;2;Yes;Yes;Games
James  ;47;9;1.7;3;13;35;49;1;5;6;Yes;No ;Games
Emma   ;47;18;3.9;3;13;31;64;5;5;13;Yes;Yes;Books
Emma   ;47;18;3.3;8;14;7;17;7;3;1;Yes;Yes;Books
John   ;47;0;1.4;3;5;21;90;1;1;18;No ;Yes;Games
Olivia ;47;28;4.8;8;12;43;55;9;1;6;No ;No ;Games
William;47;27;4.9;7;17;47;89;4;0;10;No ;No ;Games
John   ;47;2;2.4;2;3;45;40;4;2;6;Yes;Yes;Books
William;48;8;2.8;2;10;31;64;10;1;19;Yes;Yes;Games
James  ;48;14;4.2;6;14;7;3;9;0;17;No ;Yes;Games
Emma   ;48;11;3.6;6;12;2;28;6;5;0;No ;Yes;Games
Jane   ;48;23;3.7;10;20;40;23;3;3;4;No ;Yes;Books
William;48;29;4.5;7;8;43;30;3;1;17;Yes;No ;Games
Emma   ;48;22;4.2;10;5;43;21;0;5;1;No ;Yes;Books
John   ;48;6;3.1;5;11;35;87;1;0;14;Yes;Yes;Games
Emma   ;48;5;3.3;7;2;21;62;10;1;6;No ;Yes;Books
Olivia ;48;28;3.8;10;2;50;15;4;0;9;No ;Yes;Games
John   ;48;8;3.3;0;14;29;82;10;1;5;No ;No ;Books
Emma   ;48;27;1.6;2;17;41;20;5;4;19;Yes;Yes;Games
Michael;48;15;2.5;10;4;10;30;9;3;16;No ;Yes;Books
Emma   ;48;6;4.6;0;2;18;27;10;1;18;No ;No ;Games
James  ;48;21;4.8;5;9;8;17;3;4;18;Yes;Yes;Games
James  ;48;4;3.9;4;7;24;14;3;1;13;Yes;No ;Books
Michael;48;1;2.6;4;12;24;74;1;1;18;No ;No ;Games
Olivia ;49;2;4.9;10;12;38;85;8;2;18;Yes;Yes;Games
Sophia ;49;26;4.3;10;0;13;86;10;5;14;No ;No ;Games
Michael;49;9;3.4;3;2;33;37;8;5;13;No ;Yes;Books
Olivia ;49;21;4.2;7;9;20;50;3;5;0;Yes;Yes;Games
John   ;49;3;5;0;4;32;36;2;3;20;Yes;Yes;Games
John   ;49;3;2.3;5;7;36;84;0;3;1;No ;Yes;Books
Sophia ;49;8;2.6;4;4;24;55;6;2;19;Yes;No ;Games
Sophia ;49;19;4.6;2;17;47;77;3;1;13;No ;Yes;Games
Emma   ;49;29;3.2;1;15;22;4;1;1;9;No ;No ;Books
John   ;49;8;2.7;9;4;44;64;4;0;1;Yes;Yes;Books
Sophia ;49;7;3.9;8;5;1;68;9;4;6;No ;No ;Games
Jane   ;49;15;3.7;0;12;29;1;8;2;11;Yes;No ;Games
Jane   ;49;20;1.9;4;6;20;95;7;5;13;Yes;No ;Games
Emma   ;49;24;2.9;4;17;42;14;4;3;0;No ;Yes;Books
Michael;49;18;3.4;4;6;45;58;5;0;14;No ;No ;Games
James  ;49;19;1;5;8;36;94;8;3;19;No ;No ;Books
William;49;24;1.2;3;16;39;51;10;2;11;Yes;Yes;Books
Emma   ;49;14;4.3;9;17;32;88;7;4;0;No ;Yes;Games
Jane   ;49;7;1.3;5;20;33;87;5;5;15;Yes;No ;Games
Jane   ;49;12;2;4;3;7;42;5;0;8;No ;No ;Games
Jane   ;49;20;3.5;3;0;29;21;7;1;17;Yes;Yes;Games
William;49;5;2.7;1;6;44;53;3;2;17;Yes;No ;Books
William;49;0;3.3;1;8;0;91;9;2;9;Yes;Yes;Books
James  ;49;9;3.9;4;6;43;78;10;0;11;No ;Yes;Books
Jane   ;49;25;4.3;0;1;47;53;5;2;17;Yes;Yes;Games
Jane   ;49;16;4.2;3;3;40;58;1;2;19;Yes;No ;Games
James  ;49;22;2.2;4;10;11;7;7;5;11;No ;Yes;Games
William;50;3;3.2;5;2;27;61;10;2;18;Yes;No ;Books
Olivia ;50;6;4.2;1;9;30;87;2;3;3;Yes;Yes;Books
